"treatment","measurement","time","dens","temp","group"
"B",13,287,0,20,"cil"
"B",13,287,0,20,"cil"
"B",13,287,0,20,"cil"
"B",13,287,0,20,"cil"
"C",13,287,0,20,"cil"
"C",13,287,0,20,"cil"
"C",13,287,0,20,"cil"
"D",13,287,0,20,"cil"
"A",14,304.3,0,20,"cil"
"A",14,304.3,0,20,"cil"
"A",14,304.3,0,20,"cil"
"B",14,304.3,0,20,"cil"
"B",14,304.3,0,20,"cil"
"B",14,304.3,0,20,"cil"
"B",14,304.3,0,20,"cil"
"C",14,304.3,0,20,"cil"
"C",14,304.3,0,20,"cil"
"C",14,304.3,0,20,"cil"
"D",14,304.3,0,20,"cil"
"D",14,304.3,0,20,"cil"
"D",14,304.3,0,20,"cil"
"A",15,329.3,0,20,"cil"
"A",15,329.3,0,20,"cil"
"A",15,329.3,0,20,"cil"
"B",15,329.3,0,20,"cil"
"B",15,329.3,0,20,"cil"
"B",15,329.3,0,20,"cil"
"B",15,329.3,0,20,"cil"
"C",15,329.3,0,20,"cil"
"D",15,329.3,0,20,"cil"
"D",15,329.3,0,20,"cil"
"D",15,329.3,0,20,"cil"
"A",16,353.3,0,20,"cil"
"A",16,353.3,0,20,"cil"
"A",16,353.3,0,20,"cil"
"B",16,353.3,0,20,"cil"
"B",16,353.3,0,20,"cil"
"C",16,353.3,0,20,"cil"
"C",16,353.3,0,20,"cil"
"C",16,353.3,0,20,"cil"
"C",16,353.3,0,20,"cil"
"D",16,353.3,0,20,"cil"
"D",16,353.3,0,20,"cil"
"D",16,353.3,0,20,"cil"
"A",17,377.3,0,20,"cil"
"A",17,377.3,0,20,"cil"
"A",17,377.3,0,20,"cil"
"A",18,401.3,0,20,"cil"
"A",18,401.3,0,20,"cil"
"A",18,401.3,0,20,"cil"
"D",18,401.3,0,20,"cil"
"A",19,425.3,0,20,"cil"
"A",19,425.3,0,20,"cil"
"A",19,425.3,0,20,"cil"
"A",20,449.8,0,20,"cil"
"A",20,449.8,0,20,"cil"
"A",20,449.8,0,20,"cil"
"C",20,449.8,0,20,"cil"
"A",21,472.3,0,20,"cil"
"A",21,472.3,0,20,"cil"
"A",21,472.3,0,20,"cil"
"A",22,497.8,0,20,"cil"
"A",22,497.8,0,20,"cil"
"A",22,497.8,0,20,"cil"
"A",23,520.8,0,20,"cil"
"A",23,520.8,0,20,"cil"
"A",23,520.8,0,20,"cil"
"A",24,544.8,0,20,"cil"
"A",24,544.8,0,20,"cil"
"A",24,544.8,0,20,"cil"
"A",25,570.3,0,20,"cil"
"A",25,570.3,0,20,"cil"
"A",25,570.3,0,20,"cil"
"A",26,600.8,0,20,"cil"
"A",26,600.8,0,20,"cil"
"A",26,600.8,0,20,"cil"
"A",27,625.8,0,20,"cil"
"A",27,625.8,0,20,"cil"
"A",27,625.8,0,20,"cil"
"B",27,625.8,0,20,"cil"
"C",27,625.8,0,20,"cil"
"C",27,625.8,0,20,"cil"
"C",27,625.8,0,20,"cil"
"C",27,625.8,0,20,"cil"
"A",28,640.3,0,20,"cil"
"A",28,640.3,0,20,"cil"
"A",28,640.3,0,20,"cil"
"B",28,640.3,0,20,"cil"
"C",28,640.3,0,20,"cil"
"C",28,640.3,0,20,"cil"
"C",28,640.3,0,20,"cil"
"C",28,640.3,0,20,"cil"
"C",28,640.3,0,20,"cil"
"D",28,640.3,0,20,"cil"
"D",28,640.3,0,20,"cil"
"A",29,670.3,0,20,"cil"
"A",29,670.3,0,20,"cil"
"A",29,670.3,0,20,"cil"
"C",29,670.3,0,20,"cil"
"C",29,670.3,0,20,"cil"
